variant,terrain,path,bumpiness,seed,status,mean_u_window,max_cte_window,x_max_m,window_rows,sim_port,attempts
conservative,clay,lane_change,0,403,ok,7.019320945945946,0.16555,83.634694,148,34250,1
conservative,clay,lane_change,0,404,ok,6.925514935064936,0.181058,85.580209,154,32500,1
conservative,clay,lane_change,4,400,ok,6.981873717948719,0.18409,86.564329,156,32750,1
conservative,clay,lane_change,4,401,ok,7.039810071942446,0.165674,87.42682,139,33000,1
conservative,clay,lane_change,4,402,ok,7.116555172413794,0.203847,85.244863,145,33250,1
conservative,clay,lane_change,4,403,ok,7.101782312925171,0.214352,85.507092,147,33500,1
conservative,clay,lane_change,4,404,ok,6.9804456953642395,0.205672,87.211711,151,33750,1
conservative,clay,lane_change,8,400,ok,6.861691772151899,0.188875,85.648577,158,34000,1
conservative,clay,lane_change,8,401,ok,6.905235664335665,0.153552,85.223164,143,34250,1
conservative,clay,lane_change,8,402,ok,6.8391230769230775,0.187853,85.089822,143,32500,1
conservative,clay,lane_change,8,403,ok,6.878677124183008,0.174285,83.243082,153,32750,1
conservative,clay,lane_change,8,404,ok,6.820568421052632,0.139435,85.164063,152,33000,1
conservative,clay,right_left,0,400,ok,5.947732131147541,0.211225,75.067124,305,33250,1
conservative,clay,right_left,0,401,ok,5.983044791666667,0.161378,75.323432,288,33500,1
conservative,clay,right_left,0,402,ok,5.878672459016394,0.191983,75.19302,305,33750,1
conservative,clay,right_left,0,403,ok,5.883313442622951,0.143995,75.227638,305,34000,1
conservative,clay,right_left,0,404,ok,6.042669655172413,0.1407,75.623684,290,34250,1
conservative,clay,right_left,4,400,ok,5.8388242214532875,0.193444,74.778805,289,32500,1
conservative,clay,right_left,4,401,ok,5.852821782178218,0.191563,74.692163,303,32750,1
conservative,clay,right_left,4,402,ok,5.785831724137931,0.183366,74.582318,290,33000,1
conservative,clay,right_left,4,403,ok,5.746805769230769,0.252725,74.549876,312,33250,1
conservative,clay,right_left,4,404,ok,5.78226178343949,0.194438,74.487943,314,33500,1
conservative,clay,right_left,8,400,ok,5.676298726114649,0.239358,74.359437,314,33750,1
conservative,clay,right_left,8,401,ok,5.741214376996805,0.379297,74.882992,313,34000,1
conservative,clay,right_left,8,402,ok,5.792032094594594,0.322388,74.553749,296,34250,1
conservative,clay,right_left,8,403,ok,5.771811111111112,0.304999,74.560532,315,32500,1
conservative,clay,right_left,8,404,ok,5.754765333333333,0.223182,74.712784,300,32750,1
conservative,clay,sinusoidal,0,400,ok,4.704796880131363,0.266471,155.228763,609,33750,1
conservative,clay,sinusoidal,0,401,ok,4.730661712439418,0.327706,155.076483,619,34000,1
conservative,clay,sinusoidal,0,402,ok,4.735876767676768,0.267762,154.810629,594,34250,1
conservative,clay,sinusoidal,0,403,ok,4.674212096774194,0.276744,152.791549,620,32500,1
conservative,clay,sinusoidal,0,404,ok,4.745225490196078,0.295629,155.199639,612,32750,1
conservative,clay,sinusoidal,4,400,ok,4.799508542713568,0.360118,155.047721,597,33000,1
conservative,clay,sinusoidal,4,401,ok,4.829777249575552,0.354203,155.612991,589,33250,1
conservative,clay,sinusoidal,4,402,ok,4.746332685512367,0.296659,153.958171,566,33500,1
conservative,clay,sinusoidal,4,403,ok,4.8176247457627115,0.277999,154.337858,590,33750,1
conservative,clay,sinusoidal,4,404,ok,4.852053898305085,0.340859,155.291444,590,34000,1
conservative,clay,sinusoidal,8,400,ok,4.860759005145798,0.508858,155.622746,583,34250,1
conservative,clay,sinusoidal,8,401,ok,4.844864310954063,0.475982,154.960504,566,32500,1
conservative,clay,sinusoidal,8,402,ok,4.761249333333334,0.506525,153.552574,600,32750,1
conservative,clay,sinusoidal,8,403,ok,4.664371567043619,0.439458,153.85138,619,33000,1
conservative,clay,sinusoidal,8,404,ok,4.898926405451448,0.608045,155.013656,587,33250,1
conservative,dirt,lane_change,0,400,ok,6.946125000000001,0.14057,82.693249,148,32750,1
