slip_ratio,slip_angle,velocity,vertical_load,steering_rate,d_slip_ratio,d_slip_angle,d_velocity,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy,My,sinkage,kappa_cmd,alpha_cmd,velocity_cmd
-0.552140,0.049725,8.976200,3935.950771,-0.486918,0.014074,-0.491022,1.200082,1144935.308213,8906.631988,0.701976,14742.043030,0.560116,0.016168,0.088462,3957.153150,-2676.033820,-487.755716,942.698954,0.023638,-0.558727,0.220653,9.119444
-0.756789,0.047532,4.311933,6814.675185,0.109924,0.261022,-0.000881,0.641576,547666.109633,15038.968701,0.865196,18104.500325,0.420612,0.020887,0.101095,6920.927768,-4181.258219,-413.446032,771.621893,0.129003,-0.755696,0.388520,4.282053
-0.640002,-0.092111,5.155048,3589.619681,-0.380897,-0.066084,-0.395495,-1.554659,543151.833323,3618.843141,1.225638,19545.186128,0.625388,0.022823,0.104170,3677.529887,-3709.797357,540.803558,1111.388544,0.114203,-0.650362,-0.306089,5.262472
0.206301,-0.146055,3.650345,6706.205007,-0.110676,-0.246145,-0.001163,0.027228,3064147.807424,1304.922180,0.666361,19450.398524,0.418880,0.024157,0.102351,6722.450744,425.387149,2540.408288,-564.593036,0.016948,0.167814,-0.396174,3.680976
0.589490,-0.028804,3.417703,4389.138800,0.544412,0.229565,-0.022019,0.477158,2060365.127478,5452.198015,1.112011,13619.361155,0.216613,0.014879,0.093634,4454.733696,1349.217071,593.572221,-1136.013191,0.048092,0.675460,-0.143360,3.256258
-0.127323,0.022990,5.350130,4730.052253,0.409983,-0.173140,-0.010832,0.602847,2779211.054420,8367.362255,1.237319,16554.234384,0.461575,0.019723,0.107759,4926.676458,-1823.153928,-866.298377,304.299332,0.046629,-0.102281,0.090746,5.227990
-0.035557,-0.024303,7.508385,3647.117982,0.148155,0.387050,0.000458,0.428726,1351791.852085,16460.809271,1.143613,7525.384577,0.195246,0.023280,0.115466,3792.681449,-203.069950,290.487777,-357.251781,0.037144,-0.024238,-0.085235,7.464426
-0.471491,0.025184,7.357204,3609.444979,-0.374907,-0.121260,-0.004117,-0.062189,1968199.639626,14732.707811,0.780972,17150.924791,0.621529,0.018143,0.082180,3658.506157,-2548.053712,-313.349974,938.941144,0.021131,-0.476890,0.103196,7.469052
-0.512026,-0.093310,7.902362,7165.707980,-0.288279,-0.318046,-0.006359,0.413355,3892333.360434,4562.526502,0.864449,15840.790200,0.181722,0.021073,0.081741,7105.221012,-1624.577883,432.535751,211.100960,0.029772,-0.521499,-0.310400,7.985102
-0.036928,-0.034051,6.137367,6031.014144,0.508493,0.021767,-0.009183,1.478663,2063180.722787,8933.203743,0.342695,7701.796948,0.204214,0.016471,0.083610,6344.737460,-154.372162,491.120168,-129.002469,0.003942,-0.009225,-0.159851,5.988095
0.557780,0.035073,3.890702,6857.989901,-0.087735,1.653538,0.004933,-0.573708,1016199.396846,447.321499,1.179380,17031.349294,0.551162,0.017556,0.108864,6482.455899,2320.060270,-3496.450958,-2096.090949,0.086108,-0.309189,0.363012,3.914997
0.906764,-0.041700,8.891147,2872.778666,-0.142088,0.317513,-0.001758,1.379494,1406078.512821,5616.033699,1.119431,18040.674614,0.230320,0.021893,0.115824,2836.179724,995.702346,295.209865,-687.887925,0.014046,0.750812,-0.137256,8.934557
-0.349874,0.042234,8.235293,5744.612389,-0.507929,-0.050061,1.121458,-0.515115,2025830.750049,18164.268701,1.191802,3224.299098,0.192422,0.022259,0.113007,5717.398260,-1002.171843,-253.961867,-218.574324,0.054332,-0.359436,0.136898,8.385843
-0.406334,-0.113468,6.464453,4551.632790,-0.202452,0.067520,-0.001460,1.164222,3533012.084720,4778.679799,0.915197,6413.676556,0.393942,0.024935,0.096964,4549.651849,-1495.313818,598.358084,350.146603,0.024937,-0.418585,-0.316105,6.523111
0.548159,0.024830,7.864751,6017.213285,0.530699,0.177690,-0.012194,0.604088,1856154.803659,12167.793220,0.576606,18830.300741,0.581708,0.013569,0.089594,5665.873448,2927.207570,-2213.476304,-1692.589469,0.012470,0.583735,0.249732,7.710999
-0.573567,-0.047153,7.334790,6029.497984,-0.403067,-0.230570,-0.009939,-1.144050,2395937.531580,1820.051117,0.742305,10734.397457,0.369622,0.016864,0.099386,6090.083647,-2512.355346,292.553051,750.500066,0.023797,-0.579616,-0.164132,7.453107
0.038238,-0.069033,8.646351,2521.798313,-0.343697,-0.256198,-0.348981,0.614774,794571.953163,16942.623287,1.068992,17017.575541,0.630676,0.019334,0.085147,2447.156920,-91.828233,1147.865170,-216.997394,0.023905,0.023421,-0.262699,8.746265
-0.096511,-0.016613,4.440811,5942.664853,0.359260,0.281362,-0.007588,0.373101,1645637.595711,7861.921260,0.817338,12663.027613,0.133732,0.023331,0.114118,5983.395856,-580.343687,303.215859,-323.120664,0.039896,-0.068318,-0.060514,4.333568
-0.434591,0.011869,5.483879,6380.353830,0.252765,0.038802,-0.005524,-0.661572,803826.314729,1175.867675,0.997563,6367.862016,0.262378,0.015626,0.080597,6283.394939,-1798.456441,-585.728339,-133.611828,0.102671,-0.424949,0.327931,5.411532
0.633953,0.008113,9.194961,4258.708271,0.520330,0.061335,-0.010084,1.405664,961569.645414,13359.768710,0.590276,8740.520694,0.444515,0.017093,0.080958,4209.594573,1253.307857,-1295.839876,-847.223715,0.013638,0.667153,0.346835,9.049380
-0.650966,0.061904,4.710771,3655.085262,0.205619,-0.248908,-0.004867,-1.392591,2820049.673224,18367.893659,0.729974,18353.099920,0.172591,0.014138,0.119661,3445.780326,-1010.678120,-126.863175,277.998854,0.016403,-0.647557,0.262814,4.650235
0.506036,0.010333,2.773935,3619.267786,-0.074392,0.040141,0.004826,-0.441377,1532566.276376,2029.210739,1.194606,11566.757729,0.167795,0.015242,0.080282,3744.631193,578.081843,-884.553977,-735.477643,0.064125,0.502274,0.368937,2.794478
-0.581722,-0.014395,5.336621,6395.863225,0.178980,0.140026,-0.001181,-0.258880,3930115.546523,1355.830189,1.280137,1843.925587,0.205375,0.011635,0.089090,6634.295912,-1448.924807,68.484417,-93.588603,0.072508,-0.571996,-0.061939,5.282770
0.554675,-0.116981,6.716706,5930.560536,-0.266726,-0.092636,-0.002506,-0.614809,802298.320172,2565.351826,0.344143,8406.672075,0.485462,0.023497,0.099787,5901.867225,1576.549473,1870.584408,-1062.291848,0.010682,0.516553,-0.342168,6.791721
-0.076795,-0.117008,6.155849,5720.477062,-0.545959,-0.190945,-0.561693,1.226027,3824487.812155,1789.610283,1.134709,2606.561524,0.193557,0.016379,0.106252,5527.956500,-433.891386,833.022843,-287.888627,0.039673,-0.112434,-0.347932,6.310421
-0.570157,-0.064312,4.871418,5089.304836,0.254045,0.338176,0.000477,-1.174605,949793.090530,17773.451911,0.843609,20691.535283,0.329393,0.019063,0.116551,5045.454394,-2525.766039,422.121108,628.895714,0.061509,-0.563957,-0.242068,4.796486
-0.795028,-0.047157,9.357635,2637.464545,0.366267,0.025480,-0.002944,1.575965,3932198.945233,11293.593698,0.895235,18714.251235,0.207302,0.019451,0.094230,2672.400758,-1021.728459,48.168184,349.289161,0.014131,-0.792311,-0.188113,9.251208
0.686111,0.019968,3.101408,5991.235705,0.395802,1.804538,-0.016971,0.327499,2464058.000728,16687.530725,1.097038,2751.333143,0.202828,0.022466,0.115005,5633.615986,1027.965990,-254.324441,-1066.108077,0.046273,-0.598099,0.105719,2.983481
