slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.962840,-0.125989,7.115342,3636.587836,-0.065207,1373983.283163,10143.909282,0.671429,17575.595676,0.527782,0.016236,0.083841,3645.462662,2137.176537,561.452828
0.220784,-0.187276,3.458001,5017.764703,-0.266193,3321286.778476,10905.480622,0.729974,2156.681105,0.304361,0.015216,0.097404,4816.835980,752.492240,800.067946
0.028888,0.138410,9.578813,5440.650327,0.119449,2179957.877182,5898.440171,1.267032,1877.743773,0.109925,0.017302,0.093178,5757.194582,-38.568514,-331.681726
-0.716783,-0.319202,5.034135,4968.806792,-0.560000,1510841.168248,1713.740812,0.768385,20036.371558,0.335424,0.018398,0.104282,5171.293032,-2620.249650,335.973363
0.567267,-0.488507,2.242729,4192.284004,-0.407199,3932545.186987,9221.962061,0.332587,11755.342294,0.270348,0.014089,0.118909,4476.042520,395.520770,719.715080
-0.127169,-0.457466,7.005697,4046.235052,-0.243445,2648429.500892,2292.223786,1.114497,18909.938396,0.113073,0.022271,0.106891,3916.553925,-501.411330,840.871365
0.753347,-0.347764,2.290702,6061.609441,-0.361326,1866865.121954,5115.149412,0.985086,6535.551491,0.558770,0.016354,0.116820,6186.970551,2890.417163,2580.661807
0.743508,-0.504192,7.937571,6123.772499,-0.423930,1311875.831802,9299.811150,1.209826,12012.804394,0.230836,0.012184,0.107082,6321.327991,975.556930,1651.800885
-0.996947,-0.233009,2.147881,3607.975049,-0.133314,2119135.139328,7725.989028,0.775108,16281.481426,0.556435,0.013565,0.113484,3319.158189,-2638.536715,5.705755
0.968408,0.502512,8.230811,5016.805333,0.264170,2434976.485472,14622.961759,0.444494,4729.356340,0.256810,0.014162,0.096149,5401.276962,771.061992,-1023.264806
0.179258,-0.317607,4.592493,5266.562456,-0.224470,3333599.458388,9810.559515,0.586427,923.766541,0.627182,0.018071,0.086327,5096.104997,799.006683,2318.896303
0.385613,-0.164160,8.984637,6179.705192,-0.196039,1991831.160159,6417.112985,1.061508,1068.431153,0.220682,0.011887,0.118177,4338.679216,684.255954,438.073672
-0.428081,-0.336953,9.032892,3834.943087,-0.292141,544262.848175,18142.568211,0.564039,12662.908998,0.452108,0.022776,0.098959,3938.974209,-1704.278793,691.086766
-0.385254,0.072538,5.064821,6149.451627,0.040769,1392917.923386,2710.033288,0.636282,18986.510950,0.400849,0.022162,0.113013,6224.223716,-2596.149507,-280.759910
-0.307127,0.245165,2.739165,5364.176487,0.153036,3593466.034015,13583.228340,0.728156,16183.989431,0.425928,0.014199,0.088394,5783.349132,-2299.912013,-1041.117738
-0.738657,-0.167717,8.394919,6238.188478,-0.090188,2915894.224201,14497.594913,0.926261,6775.080392,0.250257,0.022673,0.092050,6266.602322,-1796.649048,102.050252
-0.213486,0.295049,5.913055,5093.802302,0.325326,884620.383640,17486.117524,0.593584,6216.144079,0.487883,0.017228,0.086775,4463.173847,-1399.040399,-1098.264778
-0.852410,-0.175970,5.279232,4194.134637,-0.259969,3666103.704901,13011.756592,0.409143,4035.369892,0.240592,0.010280,0.110383,4606.104997,-1119.576059,37.165193
-0.928196,-0.190984,3.015317,7263.495605,-0.180750,3555935.577948,5832.785270,0.883164,3732.408990,0.283765,0.022513,0.110143,7840.766953,-2359.813691,33.270797
-0.167899,0.157280,3.319510,2877.648818,0.108047,3451818.037131,3457.776586,0.679830,11770.263676,0.239105,0.018194,0.116657,1940.618335,-270.950058,-178.318390
0.894601,0.449187,3.734389,7013.651903,0.230132,1911518.902176,19629.703039,0.767420,6073.746740,0.582337,0.021291,0.091683,7851.588478,3097.560297,-3764.616187
0.918743,0.187701,3.973324,6460.563193,0.162244,2255734.021097,14175.895223,1.176819,14689.574859,0.269377,0.018457,0.104967,6522.480641,2174.247912,-913.414914
-0.715968,0.515340,5.866877,7125.229642,0.307658,3519302.549470,337.032278,1.101948,2493.522855,0.407295,0.014362,0.106466,7593.312829,-3223.244216,-510.075599
